Group,Epoch,Subject,Frequency (Hz),Coherence
Males POST,Pre-bout (t<0),M504,3.2799,0.0014
Males POST,Pre-bout (t<0),M504,3.5322,0.0581
Males POST,Pre-bout (t<0),M504,3.7845,0.1036
Males POST,Pre-bout (t<0),M504,4.0368,0.0676
Males POST,Pre-bout (t<0),M504,4.2891,0.0946
Males POST,Pre-bout (t<0),M504,4.5414,0.0663
Males POST,Pre-bout (t<0),M504,4.7937,0.0162
Males POST,Pre-bout (t<0),M502,0.2523,0.3083
Males POST,Pre-bout (t<0),M502,0.5046,0.3161
Males POST,Pre-bout (t<0),M502,0.7569,0.333
Males POST,Pre-bout (t<0),M502,1.0092,0.2674
Males POST,Pre-bout (t<0),M502,1.2615,0.2189
Males POST,Pre-bout (t<0),M502,1.5138,0.147
Males POST,Pre-bout (t<0),M502,1.7661,0.0468
Males POST,Pre-bout (t<0),M502,2.0184,0.1074
Males POST,Pre-bout (t<0),M502,2.2707,0.0762
Males POST,Pre-bout (t<0),M502,2.523,0.1205
Males POST,Pre-bout (t<0),M502,2.7753,0.0667
Males POST,Pre-bout (t<0),M502,3.0276,0.0967
Males POST,Pre-bout (t<0),M502,3.2799,0.0284
Males POST,Pre-bout (t<0),M502,3.5322,0.1323
Males POST,Pre-bout (t<0),M502,3.7845,0.0263
Males POST,Pre-bout (t<0),M502,4.0368,0.0254
Males POST,Pre-bout (t<0),M502,4.2891,0.0763
Males POST,Pre-bout (t<0),M502,4.5414,0.2066
Males POST,Pre-bout (t<0),M502,4.7937,0.1643
Males POST,Pre-bout (t<0),M505,0.2523,0.0715
Males POST,Pre-bout (t<0),M505,0.5046,0.0491
Males POST,Pre-bout (t<0),M505,0.7569,0.0053
Males POST,Pre-bout (t<0),M505,1.0092,0.0078
Males POST,Pre-bout (t<0),M505,1.2615,0.0071
Males POST,Pre-bout (t<0),M505,1.5138,0.0923
Males POST,Pre-bout (t<0),M505,1.7661,0.0216
Males POST,Pre-bout (t<0),M505,2.0184,0.0577
Males POST,Pre-bout (t<0),M505,2.2707,0.0074
Males POST,Pre-bout (t<0),M505,2.523,0.0592
Males POST,Pre-bout (t<0),M505,2.7753,0.1016
Males POST,Pre-bout (t<0),M505,3.0276,0.0772
Males POST,Pre-bout (t<0),M505,3.2799,0.0329
Males POST,Pre-bout (t<0),M505,3.5322,0.0117
Males POST,Pre-bout (t<0),M505,3.7845,0.0852
Males POST,Pre-bout (t<0),M505,4.0368,0.0452
Males POST,Pre-bout (t<0),M505,4.2891,0.1859
Males POST,Pre-bout (t<0),M505,4.5414,0.1039
Males POST,Pre-bout (t<0),M505,4.7937,0.2476
Males POST,Pre-bout (t<0),M506,0.2523,0.0151
Males POST,Pre-bout (t<0),M506,0.5046,0.0739
Males POST,Pre-bout (t<0),M506,0.7569,0.0148
Males POST,Pre-bout (t<0),M506,1.0092,0.0262
Males POST,Pre-bout (t<0),M506,1.2615,0.0817
Males POST,Pre-bout (t<0),M506,1.5138,0.0213
Males POST,Pre-bout (t<0),M506,1.7661,0.0358
Males POST,Pre-bout (t<0),M506,2.0184,0.0752
Males POST,Pre-bout (t<0),M506,2.2707,0.0299
Males POST,Pre-bout (t<0),M506,2.523,0.0817
Males POST,Pre-bout (t<0),M506,2.7753,0.0007
Males POST,Pre-bout (t<0),M506,3.0276,0.1411
Males POST,Pre-bout (t<0),M506,3.2799,0.0422
Males POST,Pre-bout (t<0),M506,3.5322,0.0496
Males POST,Pre-bout (t<0),M506,3.7845,0.1287
Males POST,Pre-bout (t<0),M506,4.0368,0.1381
Males POST,Pre-bout (t<0),M506,4.2891,0.1427
Males POST,Pre-bout (t<0),M506,4.5414,0.2836
Males POST,Pre-bout (t<0),M506,4.7937,0.1999
Males POST,Post-bout (0–10s),M503,0.2523,0.221
Males POST,Post-bout (0–10s),M503,0.5046,0.3243
Males POST,Post-bout (0–10s),M503,0.7569,0.3926
Males POST,Post-bout (0–10s),M503,1.0092,0.3318
Males POST,Post-bout (0–10s),M503,1.2615,0.0138
Males POST,Post-bout (0–10s),M503,1.5138,0.2878
Males POST,Post-bout (0–10s),M503,1.7661,0.1222
Males POST,Post-bout (0–10s),M503,2.0184,0.1817
Males POST,Post-bout (0–10s),M503,2.2707,0.2752
Males POST,Post-bout (0–10s),M503,2.523,0.3166
Males POST,Post-bout (0–10s),M503,2.7753,0.2753
Males POST,Post-bout (0–10s),M503,3.0276,0.1289
Males POST,Post-bout (0–10s),M503,3.2799,0.2334
Males POST,Post-bout (0–10s),M503,3.5322,0.2477
Males POST,Post-bout (0–10s),M503,3.7845,0.1743
Males POST,Post-bout (0–10s),M503,4.0368,0.7492
Males POST,Post-bout (0–10s),M503,4.2891,0.3083
Males POST,Post-bout (0–10s),M503,4.5414,0.7624
Males POST,Post-bout (0–10s),M503,4.7937,0.2727
Males POST,Post-bout (0–10s),M504,0.2523,0.1037
Males POST,Post-bout (0–10s),M504,0.5046,0.1225
Males POST,Post-bout (0–10s),M504,0.7569,0.4194
Males POST,Post-bout (0–10s),M504,1.0092,0.1669
Males POST,Post-bout (0–10s),M504,1.2615,0.7316
Males POST,Post-bout (0–10s),M504,1.5138,0.7505
Males POST,Post-bout (0–10s),M504,1.7661,0.5546
Males POST,Post-bout (0–10s),M504,2.0184,0.1485
Males POST,Post-bout (0–10s),M504,2.2707,0.137
Males POST,Post-bout (0–10s),M504,2.523,0.404
Males POST,Post-bout (0–10s),M504,2.7753,0.5624
Males POST,Post-bout (0–10s),M504,3.0276,0.5238
Males POST,Post-bout (0–10s),M504,3.2799,0.2383
Males POST,Post-bout (0–10s),M504,3.5322,0.2623
Males POST,Post-bout (0–10s),M504,3.7845,0.677
Males POST,Post-bout (0–10s),M504,4.0368,0.4696
Males POST,Post-bout (0–10s),M504,4.2891,0.1516
Males POST,Post-bout (0–10s),M504,4.5414,0.1884
Males POST,Post-bout (0–10s),M504,4.7937,0.0094
Males POST,Post-bout (0–10s),M502,0.2523,0.9798
Males POST,Post-bout (0–10s),M502,0.5046,0.749
Males POST,Post-bout (0–10s),M502,0.7569,0.5161
Males POST,Post-bout (0–10s),M502,1.0092,0.2708
Males POST,Post-bout (0–10s),M502,1.2615,0.5914
Males POST,Post-bout (0–10s),M502,1.5138,0.5596
Males POST,Post-bout (0–10s),M502,1.7661,0.1139
Males POST,Post-bout (0–10s),M502,2.0184,0.2978
Males POST,Post-bout (0–10s),M502,2.2707,0.1965
Males POST,Post-bout (0–10s),M502,2.523,0.505
Males POST,Post-bout (0–10s),M502,2.7753,0.3704
Males POST,Post-bout (0–10s),M502,3.0276,0.2638
Males POST,Post-bout (0–10s),M502,3.2799,0.2154
Males POST,Post-bout (0–10s),M502,3.5322,0.5426
Males POST,Post-bout (0–10s),M502,3.7845,0.0646
Males POST,Post-bout (0–10s),M502,4.0368,0.5691
Males POST,Post-bout (0–10s),M502,4.2891,0.2795
Males POST,Post-bout (0–10s),M502,4.5414,0.6579
Males POST,Post-bout (0–10s),M502,4.7937,0.0428
Males POST,Post-bout (0–10s),M505,0.2523,0.0344
Males POST,Post-bout (0–10s),M505,0.5046,0.1069
Males POST,Post-bout (0–10s),M505,0.7569,0.1471
Males POST,Post-bout (0–10s),M505,1.0092,0.3881
Males POST,Post-bout (0–10s),M505,1.2615,0.1494
Males POST,Post-bout (0–10s),M505,1.5138,0.0242
Males POST,Post-bout (0–10s),M505,1.7661,0.2092
Males POST,Post-bout (0–10s),M505,2.0184,0.226
Males POST,Post-bout (0–10s),M505,2.2707,0.2958
Males POST,Post-bout (0–10s),M505,2.523,0.2528
Males POST,Post-bout (0–10s),M505,2.7753,0.0438
Males POST,Post-bout (0–10s),M505,3.0276,0.0347
Males POST,Post-bout (0–10s),M505,3.2799,0.2188
Males POST,Post-bout (0–10s),M505,3.5322,0.0061
Males POST,Post-bout (0–10s),M505,3.7845,0.214
Males POST,Post-bout (0–10s),M505,4.0368,0.0648
Males POST,Post-bout (0–10s),M505,4.2891,0.3792
Males POST,Post-bout (0–10s),M505,4.5414,0.144
Males POST,Post-bout (0–10s),M505,4.7937,0.2125
Males POST,Post-bout (0–10s),M506,0.2523,0.2938
Males POST,Post-bout (0–10s),M506,0.5046,0.5941
Males POST,Post-bout (0–10s),M506,0.7569,0.6172
Males POST,Post-bout (0–10s),M506,1.0092,0.6782
Males POST,Post-bout (0–10s),M506,1.2615,0.6959
Males POST,Post-bout (0–10s),M506,1.5138,0.9098
Males POST,Post-bout (0–10s),M506,1.7661,0.1758
Males POST,Post-bout (0–10s),M506,2.0184,0.0301
Males POST,Post-bout (0–10s),M506,2.2707,0.051
Males POST,Post-bout (0–10s),M506,2.523,0.1303
Males POST,Post-bout (0–10s),M506,2.7753,0.3294
Males POST,Post-bout (0–10s),M506,3.0276,0.2111
Males POST,Post-bout (0–10s),M506,3.2799,0.538
Males POST,Post-bout (0–10s),M506,3.5322,0.6463
Males POST,Post-bout (0–10s),M506,3.7845,0.872
Males POST,Post-bout (0–10s),M506,4.0368,0.3312
Males POST,Post-bout (0–10s),M506,4.2891,0.8565
Males POST,Post-bout (0–10s),M506,4.5414,0.0222
Males POST,Post-bout (0–10s),M506,4.7937,0.1039
Females PRE,Pre-bout (t<0),M509,0.2523,0.5785
Females PRE,Pre-bout (t<0),M509,0.5046,0.4214
Females PRE,Pre-bout (t<0),M509,0.7569,0.3114
Females PRE,Pre-bout (t<0),M509,1.0092,0.2832
Females PRE,Pre-bout (t<0),M509,1.2615,0.3741
Females PRE,Pre-bout (t<0),M509,1.5138,0.3045
Females PRE,Pre-bout (t<0),M509,1.7661,0.0825
Females PRE,Pre-bout (t<0),M509,2.0184,0.1074
Females PRE,Pre-bout (t<0),M509,2.2707,0.2066
Females PRE,Pre-bout (t<0),M509,2.523,0.0901
Females PRE,Pre-bout (t<0),M509,2.7753,0.0318
Females PRE,Pre-bout (t<0),M509,3.0276,0.1786
Females PRE,Pre-bout (t<0),M509,3.2799,0.0388
Females PRE,Pre-bout (t<0),M509,3.5322,0.0605
Females PRE,Pre-bout (t<0),M509,3.7845,0.0447
Females PRE,Pre-bout (t<0),M509,4.0368,0.0752
Females PRE,Pre-bout (t<0),M509,4.2891,0.1112
Females PRE,Pre-bout (t<0),M509,4.5414,0.1345
Females PRE,Pre-bout (t<0),M509,4.7937,0.1042
Females PRE,Pre-bout (t<0),M511,0.2523,0.7345
Females PRE,Pre-bout (t<0),M511,0.5046,0.5872
Females PRE,Pre-bout (t<0),M511,0.7569,0.6966
Females PRE,Pre-bout (t<0),M511,1.0092,0.1778
Females PRE,Pre-bout (t<0),M511,1.2615,0.3876
Females PRE,Pre-bout (t<0),M511,1.5138,0.3377
Females PRE,Pre-bout (t<0),M511,1.7661,0.162
Females PRE,Pre-bout (t<0),M511,2.0184,0.0798
Females PRE,Pre-bout (t<0),M511,2.2707,0.1079
Females PRE,Pre-bout (t<0),M511,2.523,0.0427
Females PRE,Pre-bout (t<0),M511,2.7753,0.0423
Females PRE,Pre-bout (t<0),M511,3.0276,0.1382
Females PRE,Pre-bout (t<0),M511,3.2799,0.0237
Females PRE,Pre-bout (t<0),M511,3.5322,0.1249
Females PRE,Pre-bout (t<0),M511,3.7845,0.1763
Females PRE,Pre-bout (t<0),M511,4.0368,0.0556
Females PRE,Pre-bout (t<0),M511,4.2891,0.0342
Females PRE,Pre-bout (t<0),M511,4.5414,0.0307
Females PRE,Pre-bout (t<0),M511,4.7937,0.0321
Females PRE,Pre-bout (t<0),M512,0.2523,0.2682
Females PRE,Pre-bout (t<0),M512,0.5046,0.3039
Females PRE,Pre-bout (t<0),M512,0.7569,0.4947
